Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.9593545
20240922_112903.jpg,20240922_112907.jpg,0.96934104
20240922_112903.jpg,20240922_112840.jpg,0.9536186
20240922_112903.jpg,20240922_112849.jpg,0.9676244
20240922_112903.jpg,20240922_112858.jpg,0.9672172
20240922_112903.jpg,20240922_112844.jpg,0.97524005
20240922_112903.jpg,20240922_112837.jpg,0.9555775
20240922_112852.jpg,20240922_112907.jpg,0.9920518
20240922_112852.jpg,20240922_112840.jpg,0.9902171
20240922_112852.jpg,20240922_112849.jpg,0.9676969
20240922_112852.jpg,20240922_112858.jpg,0.9916149
20240922_112852.jpg,20240922_112844.jpg,0.9501405
20240922_112852.jpg,20240922_112837.jpg,0.958308
20240922_112907.jpg,20240922_112840.jpg,0.9731371
20240922_112907.jpg,20240922_112849.jpg,0.9572162
20240922_112907.jpg,20240922_112858.jpg,0.998537
20240922_112907.jpg,20240922_112844.jpg,0.94842225
20240922_112907.jpg,20240922_112837.jpg,0.9372969
20240922_112840.jpg,20240922_112849.jpg,0.97862834
20240922_112840.jpg,20240922_112858.jpg,0.9734816
20240922_112840.jpg,20240922_112844.jpg,0.9645854
20240922_112840.jpg,20240922_112837.jpg,0.97978663
20240922_112849.jpg,20240922_112858.jpg,0.95600384
20240922_112849.jpg,20240922_112844.jpg,0.986294
20240922_112849.jpg,20240922_112837.jpg,0.9920794
20240922_112858.jpg,20240922_112844.jpg,0.9489474
20240922_112858.jpg,20240922_112837.jpg,0.93743724
20240922_112844.jpg,20240922_112837.jpg,0.97833997
