Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.994263
20240922_112903.jpg,20240922_112907.jpg,0.9924145
20240922_112903.jpg,20240922_112840.jpg,0.9952822
20240922_112903.jpg,20240922_112849.jpg,0.9918683
20240922_112903.jpg,20240922_112858.jpg,0.9892883
20240922_112903.jpg,20240922_112844.jpg,0.993207
20240922_112903.jpg,20240922_112837.jpg,0.9893035
20240922_112852.jpg,20240922_112907.jpg,0.99885213
20240922_112852.jpg,20240922_112840.jpg,0.9961657
20240922_112852.jpg,20240922_112849.jpg,0.9919945
20240922_112852.jpg,20240922_112858.jpg,0.9973755
20240922_112852.jpg,20240922_112844.jpg,0.9946761
20240922_112852.jpg,20240922_112837.jpg,0.98666114
20240922_112907.jpg,20240922_112840.jpg,0.9925918
20240922_112907.jpg,20240922_112849.jpg,0.9876921
20240922_112907.jpg,20240922_112858.jpg,0.99916667
20240922_112907.jpg,20240922_112844.jpg,0.9949718
20240922_112907.jpg,20240922_112837.jpg,0.9801989
20240922_112840.jpg,20240922_112849.jpg,0.9928159
20240922_112840.jpg,20240922_112858.jpg,0.9916295
20240922_112840.jpg,20240922_112844.jpg,0.9940405
20240922_112840.jpg,20240922_112837.jpg,0.9927879
20240922_112849.jpg,20240922_112858.jpg,0.9848737
20240922_112849.jpg,20240922_112844.jpg,0.9898432
20240922_112849.jpg,20240922_112837.jpg,0.9975866
20240922_112858.jpg,20240922_112844.jpg,0.9955316
20240922_112858.jpg,20240922_112837.jpg,0.9780335
20240922_112844.jpg,20240922_112837.jpg,0.98622394
