Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.7486703
20240922_112903.jpg,20240922_112907.jpg,0.79577726
20240922_112903.jpg,20240922_112840.jpg,0.821996
20240922_112903.jpg,20240922_112849.jpg,0.732009
20240922_112903.jpg,20240922_112858.jpg,0.82940996
20240922_112903.jpg,20240922_112844.jpg,0.71035504
20240922_112903.jpg,20240922_112837.jpg,0.78519243
20240922_112852.jpg,20240922_112907.jpg,0.87357086
20240922_112852.jpg,20240922_112840.jpg,0.7603915
20240922_112852.jpg,20240922_112849.jpg,0.78926027
20240922_112852.jpg,20240922_112858.jpg,0.8984513
20240922_112852.jpg,20240922_112844.jpg,0.7708686
20240922_112852.jpg,20240922_112837.jpg,0.9136634
20240922_112907.jpg,20240922_112840.jpg,0.7885979
20240922_112907.jpg,20240922_112849.jpg,0.76524425
20240922_112907.jpg,20240922_112858.jpg,0.9372014
20240922_112907.jpg,20240922_112844.jpg,0.7066673
20240922_112907.jpg,20240922_112837.jpg,0.8739432
20240922_112840.jpg,20240922_112849.jpg,0.77211857
20240922_112840.jpg,20240922_112858.jpg,0.83811593
20240922_112840.jpg,20240922_112844.jpg,0.7635729
20240922_112840.jpg,20240922_112837.jpg,0.8298528
20240922_112849.jpg,20240922_112858.jpg,0.8224825
20240922_112849.jpg,20240922_112844.jpg,0.83912396
20240922_112849.jpg,20240922_112837.jpg,0.79849684
20240922_112858.jpg,20240922_112844.jpg,0.7820749
20240922_112858.jpg,20240922_112837.jpg,0.8890859
20240922_112844.jpg,20240922_112837.jpg,0.75092554
