Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.8185079
20240922_112903.jpg,20240922_112907.jpg,0.8010387
20240922_112903.jpg,20240922_112840.jpg,0.82390904
20240922_112903.jpg,20240922_112849.jpg,0.7681458
20240922_112903.jpg,20240922_112858.jpg,0.8109626
20240922_112903.jpg,20240922_112844.jpg,0.79755616
20240922_112903.jpg,20240922_112837.jpg,0.7418057
20240922_112852.jpg,20240922_112907.jpg,0.9276401
20240922_112852.jpg,20240922_112840.jpg,0.9354291
20240922_112852.jpg,20240922_112849.jpg,0.852836
20240922_112852.jpg,20240922_112858.jpg,0.9239909
20240922_112852.jpg,20240922_112844.jpg,0.86943805
20240922_112852.jpg,20240922_112837.jpg,0.8623959
20240922_112907.jpg,20240922_112840.jpg,0.88876593
20240922_112907.jpg,20240922_112849.jpg,0.807232
20240922_112907.jpg,20240922_112858.jpg,0.9607756
20240922_112907.jpg,20240922_112844.jpg,0.8216332
20240922_112907.jpg,20240922_112837.jpg,0.80510074
20240922_112840.jpg,20240922_112849.jpg,0.84881574
20240922_112840.jpg,20240922_112858.jpg,0.89888793
20240922_112840.jpg,20240922_112844.jpg,0.88146615
20240922_112840.jpg,20240922_112837.jpg,0.82242495
20240922_112849.jpg,20240922_112858.jpg,0.83838487
20240922_112849.jpg,20240922_112844.jpg,0.8634726
20240922_112849.jpg,20240922_112837.jpg,0.88338673
20240922_112858.jpg,20240922_112844.jpg,0.8413291
20240922_112858.jpg,20240922_112837.jpg,0.80707026
20240922_112844.jpg,20240922_112837.jpg,0.77284706
