Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.8925726
20240922_112903.jpg,20240922_112907.jpg,0.92672217
20240922_112903.jpg,20240922_112840.jpg,0.8772618
20240922_112903.jpg,20240922_112849.jpg,0.9268431
20240922_112903.jpg,20240922_112858.jpg,0.9204557
20240922_112903.jpg,20240922_112844.jpg,0.95179415
20240922_112903.jpg,20240922_112837.jpg,0.8904805
20240922_112852.jpg,20240922_112907.jpg,0.9778368
20240922_112852.jpg,20240922_112840.jpg,0.98108953
20240922_112852.jpg,20240922_112849.jpg,0.9305635
20240922_112852.jpg,20240922_112858.jpg,0.9763725
20240922_112852.jpg,20240922_112844.jpg,0.8912439
20240922_112852.jpg,20240922_112837.jpg,0.9051571
20240922_112907.jpg,20240922_112840.jpg,0.94240963
20240922_112907.jpg,20240922_112849.jpg,0.9192788
20240922_112907.jpg,20240922_112858.jpg,0.99748874
20240922_112907.jpg,20240922_112844.jpg,0.9033472
20240922_112907.jpg,20240922_112837.jpg,0.86657214
20240922_112840.jpg,20240922_112849.jpg,0.9466669
20240922_112840.jpg,20240922_112858.jpg,0.9388326
20240922_112840.jpg,20240922_112844.jpg,0.9103639
20240922_112840.jpg,20240922_112837.jpg,0.94854337
20240922_112849.jpg,20240922_112858.jpg,0.91408294
20240922_112849.jpg,20240922_112844.jpg,0.9722424
20240922_112849.jpg,20240922_112837.jpg,0.97661746
20240922_112858.jpg,20240922_112844.jpg,0.89723533
20240922_112858.jpg,20240922_112837.jpg,0.8615232
20240922_112844.jpg,20240922_112837.jpg,0.9469725
