Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.9113548
20240922_112903.jpg,20240922_112907.jpg,0.8956254
20240922_112903.jpg,20240922_112840.jpg,0.9094981
20240922_112903.jpg,20240922_112849.jpg,0.890592
20240922_112903.jpg,20240922_112858.jpg,0.89874625
20240922_112903.jpg,20240922_112844.jpg,0.8900641
20240922_112903.jpg,20240922_112837.jpg,0.8863841
20240922_112852.jpg,20240922_112907.jpg,0.95970285
20240922_112852.jpg,20240922_112840.jpg,0.9724195
20240922_112852.jpg,20240922_112849.jpg,0.93353146
20240922_112852.jpg,20240922_112858.jpg,0.9597163
20240922_112852.jpg,20240922_112844.jpg,0.92712903
20240922_112852.jpg,20240922_112837.jpg,0.93941647
20240922_112907.jpg,20240922_112840.jpg,0.9419558
20240922_112907.jpg,20240922_112849.jpg,0.9018674
20240922_112907.jpg,20240922_112858.jpg,0.9877545
20240922_112907.jpg,20240922_112844.jpg,0.90073967
20240922_112907.jpg,20240922_112837.jpg,0.8877921
20240922_112840.jpg,20240922_112849.jpg,0.92542493
20240922_112840.jpg,20240922_112858.jpg,0.94882953
20240922_112840.jpg,20240922_112844.jpg,0.93345964
20240922_112840.jpg,20240922_112837.jpg,0.92483354
20240922_112849.jpg,20240922_112858.jpg,0.90867573
20240922_112849.jpg,20240922_112844.jpg,0.93570745
20240922_112849.jpg,20240922_112837.jpg,0.94652814
20240922_112858.jpg,20240922_112844.jpg,0.90319383
20240922_112858.jpg,20240922_112837.jpg,0.89321816
20240922_112844.jpg,20240922_112837.jpg,0.9034359
