Image1,Image2,Similarity
20240922_112903.jpg,20240922_112852.jpg,0.913721
20240922_112903.jpg,20240922_112907.jpg,0.9173944
20240922_112903.jpg,20240922_112840.jpg,0.9098706
20240922_112903.jpg,20240922_112849.jpg,0.8949555
20240922_112903.jpg,20240922_112858.jpg,0.914816
20240922_112903.jpg,20240922_112844.jpg,0.9123241
20240922_112903.jpg,20240922_112837.jpg,0.8849479
20240922_112852.jpg,20240922_112907.jpg,0.9706627
20240922_112852.jpg,20240922_112840.jpg,0.97424287
20240922_112852.jpg,20240922_112849.jpg,0.9308858
20240922_112852.jpg,20240922_112858.jpg,0.97088444
20240922_112852.jpg,20240922_112844.jpg,0.9178648
20240922_112852.jpg,20240922_112837.jpg,0.9114579
20240922_112907.jpg,20240922_112840.jpg,0.9477986
20240922_112907.jpg,20240922_112849.jpg,0.91064936
20240922_112907.jpg,20240922_112858.jpg,0.9916782
20240922_112907.jpg,20240922_112844.jpg,0.9088552
20240922_112907.jpg,20240922_112837.jpg,0.8693004
20240922_112840.jpg,20240922_112849.jpg,0.93449265
20240922_112840.jpg,20240922_112858.jpg,0.9472814
20240922_112840.jpg,20240922_112844.jpg,0.9315813
20240922_112840.jpg,20240922_112837.jpg,0.93694425
20240922_112849.jpg,20240922_112858.jpg,0.90989494
20240922_112849.jpg,20240922_112844.jpg,0.95293725
20240922_112849.jpg,20240922_112837.jpg,0.95698726
20240922_112858.jpg,20240922_112844.jpg,0.902238
20240922_112858.jpg,20240922_112837.jpg,0.8707123
20240922_112844.jpg,20240922_112837.jpg,0.92390484
